id,title,date,outlet,language,orientation
Left.1,‘Unbelievably Vulnerable’: The Climate Challenges Facing Mamdani’s New York City,"January 24, 2026",Inside Climate News,English,Left
Left.2,Greenland isn't the first territory America has wanted from Denmark. These island residents question whether history is repeating itself.,"January 24, 2026",USA Today News,English,Left
Left.3,Tropical Cyclone Luana forms into category one system off Kimberley coast,"January 24, 2026",ABC Australia,English,Left
Left.4,Millions of gallons of sewage spilled into the Potomac River,"January 24, 2026",The Washington Post,English,Left
Left.5,U.S. is canceling almost $30 billion in Biden-era energy loans,"January 24, 2026",Los Angeles Times,English,Left
Left.6,8600 premature deaths due to wood heating,"January 24, 2026",La Presse,French,Left
Left.7,Torrential rains in southern Africa increase by 40% due to climate change,"January 29, 2026",ecoticias,Spanish,Left
Left.8,EasyJet blames ‘competitive environment’ as winter losses grow,"January 29, 2026",THE NATIONAL,English ,Left
Left.9,Water bills set to rise again: Check how much more you’ll be paying,"January 29, 2026",INDEPENDENT,English ,Left
Left.10,The staggering cost of PFAS in Europe revealed in an initial study,"January 29, 2026",HUFFPOST,French,Left
Left.11,85 seconds to global catastrophe: Scientists' disturbing update on the Doomsday Clock,"January 29, 2026",il Fatto Quotidiano,Italian,Left
Left.12,EPA plan would begin rolling back ‘good neighbor’ rule on downwind pollution from smokestacks,"January 29, 2026",AP News,English,Left
Left.13,"Archeology ""A window into what might have happened"": half a billion-year-old animal species discovered in China","January 28, 2026",Liberation,French,Left
Left.14,Australian government fund to invest $75m in company producing material critical to AI supply chains,"January 28, 2026",ABC News,English,Left
Left.15,Poacher illegally kills prominent wolf from Yellowstone's most viewed pack: Officials,"January 28, 2026",ABC News,English,Left
Left.16,"The fires in Argentine Patagonia have ravaged more than 45,000 hectares out of control.","January 29, 2026",ecoticias,Spanish,Left
Left.17,E Coli levels test ‘dangerously high’ in Potomac River after sewage spill: report,"January 28, 2026",INDEPENDENT,English,Left
Left.18,US agency sparks backlash with proposal that could threaten water supply: 'Trying to solve for a problem that does not exist',"January 29, 2026",TCD,English,Left
Left.19,"Carcass Black Star, the last French manufacturer of retreaded tires, is filing for bankruptcy protection.","January 28, 2026",Liberation,French,Left
Left.20,World Day for Reducing Carbon Dioxide Emissions 2026: Global Climate Emergency,"January 28, 2026",ecoticias,Spanish,Left
Left.21,Large study of the world's trees shows threat to forests' CO2 storage,"January 28, 2026",DR,Danish,Left
Left.22,Are Incentives for Fuel Made from Livestock Manure Leaving Small Farmers Behind?,"January 28, 2026",Inside Climate News,English,Left
Left.23,European nations are jointly plotting a massive offshore wind buildout,"January 28, 2026",CanaryMedia,English,Left
Left.24,Netherlands court orders government to implement climate measures for Bonaire,"January 29, 2026",JURIST news,English,Left
Left.25,Shiveluch volcano spews kilometer-high ash cloud,"January 28, 2026",SPIEGEL Panorama,German,Left
Left.26,"Contamination Hauts-de-France: 83,000 people are drinking non-compliant water due to an excess of fungicide","January 28, 2026",Liberation,French,Left
Left.27,How Spanish agriculture is changing crops due to climate change: less cotton and more olive groves and vegetables,"January 28, 2026",ecoticias,Spanish,Left
Left.28,Tlaib joins Michigan clean air activists in opposing EPA efforts to roll back pollution restrictions,"January 27, 2026",Michigan Advance,English,Left
Left.29,Judge revives $4.5 billion Martha's Vineyard project despite administration's demands to halt construction: 'An important development for … ratepayers',"January 29, 2026",TCD,English,Left
Left.30,"EIA: 99%+ of new US capacity in 2026 will be solar, wind + storage","January 28, 2026",electrek,English,Left
Left.31,"Record-breaking Australia heatwave fuels bushfires, cuts power to thousands ","January 27, 2026",TheJakartaPost,English,Left
Left.32,Officials spark outrage amid plan to remove crucial features from US national parks: '[This] should offend every American',"January 29, 2026",TCD,English,Left
Left.33,"Trump Administration declares pristine Alaskan seafloor “open for business,” mocks environmental safeguards","January 28, 2026",Common Dreams,English,Left
Left.34,"It’s one storm after another for much of the US, but the next one’s path is uncertain","January 28, 2026",The Seattle Times,English,Left
Left.35,Maine advances climate superfund bill that would ask fossil fuel companies to pay,"January 28, 2026",Maine Morning Star,English,Left
Left.36,"Beef banned from Polytechnique Montréal menus: ""This is a first in Canada, but it's not a surprise.""","January 28, 2026",TVA Nouvelles,French,Left
Left.37,"The storm intensifies this Wednesday with a drop in temperature, rain, snow and strong gusts of wind","January 28, 2026",elDiario,Spanish,Left
Left.38,"Indore water contamination: 62-year-old man dies, locals say 29th death","January 28, 2026",The Sisiat Daily,English,Left
Left.39,Footage of giant snowdrifts in Japan. Snowstorm hits the country,"January 27, 2026",Novinky,Czech,Left
Left.40,Floods push crocodiles into Mozambican towns as health concerns rise,"January 28, 2026",Rocky Mountain Outlook,English,Left
Left.41,Australia swelters in a record heat wave as temperatures near 50 C,"January 27, 2026",AP News,English,Left
Left.42,Trump destroyed offshore wind. The Northeast can’t live without it,"January 28, 2026",Grist,English,Left
